BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,25100,46614,69750,DebtCon,Office,17,0,0,193.2525794,1,22,33.71535165
0,17800,38770,64357,DebtCon,Other,17,0,0,282.9357846,0,21,27.97949547
0,17400,49765,66782,DebtCon,Mgr,27,0,0,272.5904825,1,16,39.3830645
0,16300,105169,134992,DebtCon,Other,1,0,0,277.9929456,0,46,41.9498545
0,16300,69327,102426,HomeImp,ProfExe,8,0,0,246.7546661,1,12,36.4090945
0,6900,53776,51952,HomeImp,Other,5,0,0,87.90011834,0,17,22.28699748
0,24000,17575,50375,DebtCon,Other,23,0,0,135.7640508,0,11,22.9810051
0,24200,63229,89394,DebtCon,Other,15,0,0,84.66879155,0,16,35.60488671
0,12700,204038,230920,HomeImp,ProfExe,10,0,0,242.9128934,0,22,29.80162732
0,25700,31333,56733,DebtCon,Other,13,0,0,97.08615055,2,25,30.61978675
0,26400,59288,87753,DebtCon,Other,8,1,1,145.8824924,3,29,38.97248671
0,26900,67144,92923,DebtCon,Other,16,0,0,89.11217349,1,17,32.79147803
0,9500,131394,162449,HomeImp,ProfExe,10,0,0,222.0095049,0,18,19.55124299
0,17200,52276,69860,DebtCon,Office,0,0,0,180.9314877,0,25,30.58796698
0,22600,61503,101786,HomeImp,ProfExe,17,0,0,622.3557677,1,24,21.68666861
0,18100,73356,86885,DebtCon,Other,10,0,0,73.74671053,3,12,31.57101889
0,4500,71082,79247,HomeImp,Other,4,0,0,118.7604101,0,14,41.42111052
0,62500,124491,198338,DebtCon,ProfExe,10,0,0,324.3207318,1,26,38.06975144
0,9400,81596,116738,HomeImp,Office,28,0,0,338.6290354,1,38,34.16951368
1,18700,39441,71345,DebtCon,Other,11,0,4,132.8367575,0,13,27.69164816
0,47700,93909,154158,DebtCon,Other,14,0,0,227.2282602,8,19,41.33812472
0,16100,26276,168105,HomeImp,Self,7,0,0,336.1984645,0,26,25.99181995
0,5100,87258,121382,HomeImp,ProfExe,6,0,0,181.6630402,0,28,25.44475915
0,9000,53177,56782,HomeImp,Other,9,0,0,106.500537,3,33,40.0841755
0,32900,49709,101222,DebtCon,Office,2,0,0,181.9098245,2,24,35.04559626
0,21300,183386,230443,DebtCon,ProfExe,1,0,0,288.3736976,1,26,39.33487902
0,10300,74624,96697,DebtCon,Office,7,0,0,217.2353212,3,28,41.51130079
0,14200,102512,128657,HomeImp,ProfExe,8,0,0,178.3390263,3,32,27.54114088
0,7800,45391,61743,DebtCon,Other,12,0,0,105.0875938,0,22,36.70541274
0,15900,94108,113888,HomeImp,Office,2,0,0,140.5100538,0,21,36.31878818
0,15300,53736,102094,HomeImp,Other,0,0,2,33.44969444,1,10,40.1048096
0,29400,119256,160683,DebtCon,ProfExe,6,0,0,109.121197,3,27,33.30176289
0,36300,35072,74829,DebtCon,ProfExe,4,1,0,195.5596417,2,18,23.01985524
0,5800,46595,58191,HomeImp,Other,5,0,0,80.13174641,0,17,24.14015367
0,11400,75705,90727,DebtCon,Mgr,5,0,0,143.1010326,2,27,42.16992673
0,10800,75378,86060,DebtCon,Mgr,6,0,0,102.6650708,0,23,30.09500969
0,31300,188655,298090,DebtCon,Other,28,0,0,153.0868546,0,22,40.29677071
0,20700,140776,183621,HomeImp,Mgr,7,0,0,315.3743912,0,17,43.85601978
0,14900,72637,103297,DebtCon,Other,4,2,0,83.46608634,0,20,22.55303962
0,24200,22763,47622,DebtCon,Other,23,0,0,126.9226912,1,10,23.04094471
0,17600,53707,80407,DebtCon,Other,17,1,0,185.9782208,0,21,36.49405393
0,15900,65827,97935,DebtCon,Office,1,0,0,160.4169586,4,20,32.60020273
0,18700,65458,84639,DebtCon,Other,0,1,2,97.14654403,2,25,33.6906879
0,20100,72775,102308,DebtCon,Office,8,0,0,206.4788452,2,13,32.78297142
0,17600,62198,101183,HomeImp,ProfExe,21,0,0,230.7167135,1,23,39.13975656
0,13400,67941,84973,DebtCon,Office,6,1,3,179.9770702,3,30,37.42893752
0,50400,43635,104114,HomeImp,Self,10,0,0,224.4829394,3,35,40.8514441
0,38900,200731,269450,DebtCon,ProfExe,3,0,0,237.3442966,0,32,29.2944879
0,8800,56963,70607,HomeImp,Other,4,0,0,99.76441458,3,19,40.34526073
0,7200,57912,84806,HomeImp,Other,15,0,0,241.5142498,0,35,35.06267565
0,17800,137169,182280,DebtCon,Mgr,12,0,0,241.3753071,0,21,28.84644812
0,12900,102905,117694,HomeImp,Office,1,0,0,137.1424731,1,21,35.86546621
1,18000,48724,72654,DebtCon,Other,7,0,0,62.08860596,0,4,31.57029892
0,16400,57139,164133,DebtCon,ProfExe,21,0,0,238.4610031,0,27,22.20684601
1,17400,96590,112115,DebtCon,Other,0,6,0,178.6595894,2,46,41.11788749
0,8600,66366,75957,DebtCon,ProfExe,8,0,0,72.91672107,2,25,39.66040874
0,51100,28312,82300,HomeImp,Other,3,2,0,269.3359755,6,14,41.08753538
0,15600,51990,141518,DebtCon,Other,1,0,0,272.5030662,3,43,39.30182319
0,22000,71664,98015,DebtCon,Mgr,9,0,0,191.3136088,1,19,34.92102106
0,10700,56197,79272,HomeImp,Other,18,0,0,218.9816622,1,16,34.0153596
0,26000,100548,207647,DebtCon,Other,22,0,0,218.5959913,0,18,26.55949496
1,6500,183860,208910,DebtCon,ProfExe,4,6,0,86.45222694,6,29,69.8005248
0,16200,86021,113030,DebtCon,Other,20,0,0,284.1597667,0,17,26.65016531
0,9100,24721,34462,DebtCon,Other,1,0,0,28.10052036,9,7,27.52068217
0,11000,131949,165096,HomeImp,ProfExe,5,0,0,440.4212537,0,42,26.90476645
0,10100,57881,69554,HomeImp,Other,29,0,3,189.9245224,1,24,34.61045543
0,15800,74575,95815,DebtCon,Other,7,2,0,69.5813481,0,21,24.10872688
0,10600,50662,62491,DebtCon,Other,0,0,0,197.709267,1,13,26.25188835
0,8900,58839,81223,DebtCon,Office,4,0,0,102.2464696,2,15,26.20640995
0,9000,79259,84322,HomeImp,Other,22,0,0,359.3322724,1,47,29.67139034
0,16400,58664,89589,DebtCon,Office,27,0,0,211.4411021,0,21,34.25636489
0,6700,58741,68225,DebtCon,ProfExe,9,0,3,173.5744163,1,31,23.58701323
1,8100,19772,39431,DebtCon,Other,0,0,1,82.33528777,1,12,20.34246772
0,27100,140305,237302,HomeImp,ProfExe,27,0,0,349.5142676,2,18,37.42084716
0,20000,28440,91704,DebtCon,ProfExe,10,0,0,143.6374388,0,20,30.20689334
0,20000,38955,80680,DebtCon,ProfExe,8,0,0,295.3007793,0,18,40.39095601
0,6500,33639,37345,HomeImp,ProfExe,11,0,0,191.0756559,0,13,24.22731934
0,68700,197356,291242,DebtCon,Self,10,0,0,217.8016474,2,24,29.42305804
0,18800,7739,65181,DebtCon,Sales,0,0,0,315.2308975,0,6,37.98355778
0,21700,29500,53943,DebtCon,ProfExe,14,0,0,185.6820797,1,19,37.75154584
0,11500,44097,58336,DebtCon,Office,0,0,0,173.3183208,0,20,38.19162602
0,8600,22960,80874,HomeImp,ProfExe,20,0,0,238.7026834,0,11,25.8873199
1,16200,118585,131940,DebtCon,Sales,5,0,0,202.3851699,2,40,23.97711222
0,7000,58114,93391,HomeImp,ProfExe,6,0,0,200.0777551,1,24,31.73651179
0,9300,79724,105493,DebtCon,Mgr,2,0,0,63.43088731,2,23,39.38611808
0,6400,53476,70157,DebtCon,ProfExe,7,0,3,164.3154099,1,30,21.13798157
0,36400,86853,131508,DebtCon,Mgr,30,0,0,349.6943994,0,19,40.10703136
0,13100,69259,75149,DebtCon,Office,11,0,0,240.4102919,3,37,40.73560441
0,6900,70717,87466,HomeImp,Other,2,0,0,112.5890607,0,15,41.4280899
0,6200,60354,87596,HomeImp,ProfExe,5,0,0,210.1730647,2,23,34.05481124
0,19100,73217,93033,DebtCon,Other,1,2,1,113.6945661,2,26,36.38416382
0,17600,71366,87862,DebtCon,Office,5,0,0,116.7966851,0,20,23.40013712
0,26100,113266,182082,DebtCon,Sales,18,0,0,304.8524691,1,31,33.19394936
0,17100,43085,68758,DebtCon,Other,7,0,1,103.6838558,3,49,30.3535487
0,9300,39307,51680,DebtCon,Office,8,0,0,196.0146349,0,23,30.7315717
0,28300,68959,102048,DebtCon,ProfExe,12,0,0,278.7147042,1,32,39.93275013
1,21200,69212,106273,DebtCon,ProfExe,12,0,1,97.2311228,0,22,18.11489583
0,59200,43877,74768,DebtCon,Other,5,0,0,102.5503172,0,21,31.30426743
0,10400,39821,54040,HomeImp,Mgr,21,1,0,231.6054114,1,18,36.43973673
0,26300,147600,184207,DebtCon,ProfExe,5,0,0,310.3481457,0,35,38.23508627
0,14800,41807,50931,DebtCon,ProfExe,4,0,0,269.7185483,1,35,38.50788773
0,10600,48018,68963,DebtCon,Mgr,2,0,0,186.7575926,1,16,30.65574434
0,26400,128413,207302,DebtCon,ProfExe,9,0,0,228.0151316,3,26,17.87219518
0,17000,70085,81598,DebtCon,Office,7,0,0,117.1953992,1,20,21.98183572
1,22600,78975,103374,DebtCon,Mgr,11,0,0,259.319755,1,14,27.74405551
0,19300,72752,106084,DebtCon,Office,11,0,0,193.7070998,1,13,30.68610563
0,36500,87683,131532,DebtCon,Mgr,32,0,0,351.025752,0,20,40.17865138
0,27800,114417,150849,DebtCon,Mgr,5,0,0,285.3861264,0,24,38.58192387
1,19700,62351,84624,DebtCon,Mgr,0,1,0,88.12651677,1,22,54.24133474
0,26200,105096,136580,DebtCon,Mgr,9,2,0,181.3585917,4,17,39.18736161
0,20400,41985,100096,HomeImp,Other,4,0,0,141.0330881,0,14,32.93078188
0,14100,86730,117667,DebtCon,ProfExe,1,0,2,134.3555745,0,34,31.98051047
0,13600,64799,84425,DebtCon,Office,14,0,0,115.3238836,0,24,36.85085748
0,26900,74982,126972,DebtCon,Office,0,0,0,315.8189112,0,23,38.32598985
0,14400,32683,48467,HomeImp,Other,11,0,0,114.4120329,0,10,21.46972396
0,9100,43249,52946,HomeImp,Mgr,20,1,1,228.3963399,1,18,35.18184074
0,8700,68186,82518,HomeImp,Other,1,0,0,105.1022551,0,7,36.44893885
0,8400,35240,54314,DebtCon,Office,8,0,0,210.5800148,1,22,32.57186729
0,12100,48622,83158,HomeImp,Other,4,0,2,191.5692916,0,12,29.20449955
1,21400,104657,147364,DebtCon,Other,7,2,0,149.2544801,2,20,46.30507215
0,28500,100145,130522,DebtCon,Office,10,0,0,137.9428692,0,29,39.07258918
0,26800,149729,183027,DebtCon,ProfExe,7,0,0,331.2565571,0,34,37.00088322
0,41700,59889,109250,DebtCon,Mgr,16,0,0,187.1328108,0,22,36.96881444
0,10800,44355,57742,HomeImp,Other,20,0,1,129.7319921,0,22,38.04276786
0,14500,54927,63177,DebtCon,Other,3,0,0,178.9361677,0,14,27.06223348
0,20500,47130,66415,DebtCon,Office,4,0,0,170.9255245,2,26,33.58241575
0,23600,140284,182591,DebtCon,ProfExe,21,0,0,224.9413467,0,24,41.8717558
0,29900,230499,294326,DebtCon,ProfExe,15,0,1,250.4910072,2,26,27.92066177
1,12300,48238,66603,HomeImp,Office,6,0,1,80.38898294,1,11,40.01910455
0,20100,171132,201214,DebtCon,ProfExe,11,0,0,250.9230696,0,38,25.96553266
0,20200,130401,171686,DebtCon,ProfExe,7,0,0,178.9425448,0,38,20.32713791
0,12500,56960,69014,DebtCon,Other,4,0,0,307.636664,0,10,30.36248382
0,9200,57375,69040,DebtCon,Other,0,0,1,116.4187965,2,18,36.62562946
0,15100,26196,45657,HomeImp,Other,9,0,0,86.71659339,1,12,29.32175447
0,15700,81709,111127,HomeImp,ProfExe,4,0,0,123.6244484,0,25,37.5606476
0,9700,84933,122520,DebtCon,Office,10,0,0,141.433076,1,23,36.79501396
0,15200,47453,73068,DebtCon,ProfExe,20,0,0,196.6996956,0,16,22.38385656
0,21700,20627,52040,DebtCon,Other,26,0,2,199.9854317,0,25,27.11768955
0,19500,88909,140092,DebtCon,Mgr,13,0,0,163.5625044,1,25,33.00501666
1,12300,64265,90956,DebtCon,Other,10,0,1,233.1561248,0,32,32.90882386
0,11700,78789,91342,DebtCon,Mgr,5,0,0,128.3606742,2,27,41.95268179
0,21700,72180,93427,DebtCon,Other,2,0,0,115.5294894,1,29,33.45667038
1,37300,68789,86172,HomeImp,Self,2,0,6,235.6379056,2,25,114.0505277
0,24600,71862,94704,DebtCon,Other,1,0,0,93.26171339,2,29,35.2905832
0,6300,78724,80355,HomeImp,Other,24,0,0,335.0741426,1,46,31.1772613
0,6400,70035,78635,DebtCon,Sales,3,0,0,147.0771635,0,31,31.20612976
0,24800,82670,106563,DebtCon,Mgr,8,0,0,302.984432,2,28,30.95648584
0,37700,141260,205493,HomeImp,ProfExe,5,0,0,148.1372394,0,31,34.3029739
0,14100,36309,53321,HomeImp,Other,8,0,0,110.2063505,1,10,19.18791401
0,13300,76663,96022,DebtCon,ProfExe,10,2,0,180.0294503,1,30,27.04500676
0,12500,77792,100812,DebtCon,ProfExe,10,2,0,182.9569956,1,29,27.38587324
0,5700,28127,36524,HomeImp,ProfExe,10,0,0,181.2829568,0,13,24.33953357
0,11100,53232,86703,HomeImp,Other,16,0,0,183.2062075,0,29,26.87488997
0,17200,48999,76544,DebtCon,ProfExe,5,0,0,240.5227465,3,31,32.84175391
0,18000,90275,135792,DebtCon,Mgr,13,0,0,178.661764,1,26,33.33696079
0,15800,51163,157644,DebtCon,ProfExe,19,0,0,239.2247894,0,28,20.74752052
0,24700,77022,112172,DebtCon,Mgr,9,0,1,306.8710779,2,28,30.12004195
0,16600,45877,68563,HomeImp,Office,2,1,0,119.5007647,0,18,33.07304835
0,15100,68043,80686,DebtCon,Office,4,0,0,119.6724909,1,20,21.41822746
0,5500,71644,72696,HomeImp,Sales,4,2,0,150.8658451,0,22,40.44256778
0,15400,50121,67755,DebtCon,Other,3,0,0,168.748032,0,14,37.56086276
0,26900,57414,92916,DebtCon,Office,0,0,0,70.28190571,0,22,34.39630178
0,18100,71814,89941,DebtCon,Other,10,0,0,83.16781079,3,11,32.28540549
0,7200,62329,78007,DebtCon,ProfExe,8,0,0,55.35880309,1,23,38.64027711
0,14800,53738,66258,DebtCon,Other,7,0,0,240.8634414,0,17,34.53249608
0,10600,46589,64559,HomeImp,Other,8,0,0,85.23087649,2,33,40.45139254
0,42300,22434,65893,DebtCon,Other,18,0,0,205.5336428,1,31,43.22866458
0,14300,85478,113372,DebtCon,ProfExe,9,0,0,190.7530437,1,36,40.77814232
0,18600,84874,115759,DebtCon,ProfExe,9,0,0,146.0698108,3,18,39.83431993
1,9900,23767,39293,DebtCon,Other,5,1,0,145.7657738,0,9,24.60512881
0,17100,100082,119585,DebtCon,ProfExe,1,0,0,147.9158091,0,29,34.73427716
0,21600,66711,105267,HomeImp,Office,13,0,0,145.9353838,0,14,37.11491559
0,35600,20552,46697,DebtCon,Mgr,7,0,0,45.14448683,0,6,36.06282742
1,11700,63914,93707,DebtCon,Other,7,3,0,162.579837,2,51,69.48065039
0,3200,74864,87266,HomeImp,ProfExe,7,0,0,250.6312692,0,12,42.90999735
0,24900,60778,94374,DebtCon,Other,5,0,0,232.1188078,1,20,34.92549001
0,16300,7774,88649,HomeImp,Other,14,0,1,257.9159219,0,22,28.13047878
0,21400,134041,163103,DebtCon,ProfExe,6,1,0,172.0310693,0,38,19.63706875
0,24500,67336,96060,DebtCon,ProfExe,8,0,1,142.3442497,3,25,35.97985624
0,28200,61038,87534,DebtCon,Other,8,0,0,137.4878193,3,30,39.3600186
0,35000,239058,40848,DebtCon,Mgr,4,0,1,212.0154058,3,49,40.13181545
1,31000,67794,103535,DebtCon,Mgr,7,0,1,116.8989899,1,31,44.06542878
0,5300,50934,62957,HomeImp,Office,21,0,0,197.2419573,0,20,19.35050563
0,8600,58846,72733,DebtCon,ProfExe,14,0,0,233.1716005,3,32,39.77508785
0,20100,78915,119400,DebtCon,Mgr,18,0,0,232.8267062,4,30,36.64867972
0,27000,54834,85391,DebtCon,Other,9,0,1,132.5785446,2,30,39.30573912
0,26900,54071,85557,DebtCon,Office,0,0,2,91.20997623,0,22,34.5971919
0,17600,44571,66088,HomeImp,Office,2,0,0,126.0903816,0,17,30.87190179
0,24400,91316,147837,DebtCon,ProfExe,23,0,0,170.0567485,0,24,42.66845465
0,18400,65519,89276,DebtCon,Other,0,1,2,123.098552,2,26,36.35420324
0,21200,70400,96999,HomeImp,Office,14,0,0,135.264537,0,13,38.82316963
0,29200,116202,160084,DebtCon,ProfExe,6,0,0,124.1214617,3,26,32.64452984
0,10200,86400,113698,HomeImp,ProfExe,11,0,1,181.542927,0,27,35.03165088
0,6100,47604,54966,HomeImp,Other,5,0,0,70.69532973,0,18,24.76674453
0,25400,82553,107422,DebtCon,Mgr,9,1,0,305.7597054,2,29,32.72167844
0,26000,58794,91413,DebtCon,Other,5,0,0,230.6802307,0,19,37.99692333
0,18800,66562,90325,DebtCon,Other,0,1,1,112.9032622,2,25,33.16227148
0,10500,154434,179486,HomeImp,Office,5,0,0,182.3539,1,55,34.98345933
0,28700,107281,155874,DebtCon,ProfExe,10,0,0,173.8358358,0,17,32.74036849
0,23100,42862,63916,DebtCon,Office,5,0,0,182.93212,1,26,35.58378923
1,16500,48833,68872,DebtCon,Other,1,0,0,60.39065229,0,12,22.45962439
1,12900,117900,143433,DebtCon,Mgr,6,0,0,227.9328934,0,35,47.61976353
0,20900,51960,105524,DebtCon,Office,2,0,3,179.925635,0,47,37.17960241
0,10700,85198,107044,HomeImp,ProfExe,0,0,0,66.75832547,0,19,36.84646682
0,17600,29201,41396,DebtCon,Mgr,19,0,0,89.20252735,1,16,23.93494584
0,5500,87765,101053,DebtCon,ProfExe,22,0,0,55.55804904,2,13,31.37554242
0,18700,47903,63933,HomeImp,Office,3,0,0,120.4180419,1,17,32.97759665
0,27000,60631,86091,DebtCon,Other,24,0,2,200.1414536,1,20,26.24875663
0,23300,27793,50177,DebtCon,Other,16,0,0,136.401603,1,24,28.0529211
1,27700,85285,116468,DebtCon,Other,9,0,0,312.8079283,0,36,35.96802437
0,40500,66895,113770,DebtCon,Mgr,14,0,0,188.1404168,0,22,38.08532813
0,6200,46601,59486,HomeImp,Other,5,0,0,84.63211066,0,18,25.35001036
0,22100,69697,102155,HomeImp,Mgr,13,0,0,164.7849474,0,28,36.27847391
1,17900,70046,135917,DebtCon,Self,1,1,2,138.0110083,0,16,38.2892023
0,19300,83141,112096,DebtCon,Mgr,15,0,0,255.788289,5,31,35.514488
0,20400,132443,204082,HomeImp,ProfExe,13,0,0,187.0186916,0,22,36.82188744
0,17900,62697,89848,DebtCon,Office,7,0,0,113.0588969,0,19,24.07219136
0,7700,51045,91068,HomeImp,Other,20,0,0,179.2409356,0,28,27.23109397
0,6600,68733,81973,HomeImp,Other,5,0,0,96.9776672,0,14,42.21104678
0,16600,102543,119493,DebtCon,Office,3,0,0,276.6931852,0,33,29.28407186
0,13700,58788,87260,DebtCon,Office,14,0,0,103.6928184,0,24,36.66531854
1,11000,60513,110485,DebtCon,Mgr,3,1,1,126.7719289,1,17,40.03139332
0,22900,61067,96306,DebtCon,Other,5,0,0,228.898609,1,20,36.13495946
0,11900,81849,105403,HomeImp,ProfExe,5,0,1,82.63950538,1,34,36.50598321
1,36100,233417,324987,HomeImp,ProfExe,4,0,0,152.2454279,0,25,21.86293891
1,8000,49685,81020,HomeImp,Other,2,0,3,129.3624659,0,15,47.00097522
0,14700,35164,68061,DebtCon,ProfExe,5,0,0,245.6705776,1,16,23.11228982
0,19200,83591,109772,HomeImp,ProfExe,4,0,0,101.498812,1,25,37.07704153
0,4300,68815,79852,HomeImp,Other,6,0,0,105.1207088,0,14,41.80637615
0,15200,34854,63519,DebtCon,ProfExe,6,0,0,275.4796976,0,15,20.78514557
0,30300,109859,153240,DebtCon,ProfExe,10,0,0,172.6879798,0,17,34.54949648
0,13300,35000,44195,HomeImp,Other,8,0,0,91.92352891,0,4,35.24312086
0,24800,98139,121696,DebtCon,Self,3,0,0,208.5232669,1,27,32.64426513
0,17100,48471,71546,DebtCon,ProfExe,5,0,1,254.0957007,3,32,29.81874354
0,10800,61767,72668,DebtCon,ProfExe,15,0,0,228.9854532,3,32,37.91433471
1,14900,57557,80611,DebtCon,Other,12,0,0,103.1065045,0,7,39.84087535
0,19400,109812,172705,DebtCon,Office,5,0,0,204.1054149,3,23,43.33840721
0,15600,75701,106389,DebtCon,ProfExe,0,0,0,278.6803944,2,21,40.10825906
0,12000,15756,53079,HomeImp,Office,23,0,0,259.5550443,0,20,29.39747822
0,24300,21660,48475,DebtCon,Other,26,0,0,102.7828355,0,10,23.24795828
1,12800,81030,100333,DebtCon,Mgr,11,0,1,80.14894304,4,29,42.31937039
0,8000,58006,94930,HomeImp,ProfExe,4,0,0,223.2029895,2,24,30.91339584
0,10600,63245,82041,DebtCon,Office,3,1,3,184.5725782,3,29,38.21903431
0,13900,80960,100730,DebtCon,Other,0,0,0,153.0875555,0,22,40.19530694
0,10500,53537,66674,DebtCon,Office,4,0,0,83.5030948,2,11,37.09841345
0,14200,84718,103804,HomeImp,Other,21,0,0,123.6635751,4,23,30.63534815
0,14600,76194,106461,DebtCon,Other,4,0,0,80.70619763,1,13,34.52955009
0,65200,63338,148871,HomeImp,Office,11,0,0,124.2430768,0,12,41.44401078
1,23000,72638,109183,DebtCon,ProfExe,2,0,0,177.611648,2,22,48.27759122
0,30700,14834,64870,DebtCon,Other,1,0,0,99.70436212,1,5,36.69232406
